drug1,drug2,severity,effect
Sitagliptin,Celecoxib,Minor,NSAID Celecoxib may minorly increase the risk of hypoglycemia when used with Sitagliptin.
Sitagliptin,Meloxicam,Minor,NSAID Meloxicam may minorly increase the risk of hypoglycemia when used with Sitagliptin.
Empagliflozin,Ibuprofen,Minor,NSAID Ibuprofen may minorly increase the risk of hypoglycemia when used with Empagliflozin.
Empagliflozin,Naproxen,Minor,NSAID Naproxen may minorly increase the risk of hypoglycemia when used with Empagliflozin.
Empagliflozin,Diclofenac,Minor,NSAID Diclofenac may minorly increase the risk of hypoglycemia when used with Empagliflozin.
Empagliflozin,Celecoxib,Minor,NSAID Celecoxib may minorly increase the risk of hypoglycemia when used with Empagliflozin.
Empagliflozin,Meloxicam,Minor,NSAID Meloxicam may minorly increase the risk of hypoglycemia when used with Empagliflozin.
Sertraline,Omeprazole,Minor,PPI Omeprazole may slightly increase the concentration of SSRI Sertraline.
Sertraline,Lansoprazole,Minor,PPI Lansoprazole may slightly increase the concentration of SSRI Sertraline.
Sertraline,Esomeprazole,Minor,PPI Esomeprazole may slightly increase the concentration of SSRI Sertraline.
Citalopram,Omeprazole,Minor,PPI Omeprazole may slightly increase the concentration of SSRI Citalopram.
Citalopram,Lansoprazole,Minor,PPI Lansoprazole may slightly increase the concentration of SSRI Citalopram.
Citalopram,Esomeprazole,Minor,PPI Esomeprazole may slightly increase the concentration of SSRI Citalopram.
Escitalopram,Omeprazole,Minor,PPI Omeprazole may slightly increase the concentration of SSRI Escitalopram.
Escitalopram,Lansoprazole,Minor,PPI Lansoprazole may slightly increase the concentration of SSRI Escitalopram.
Escitalopram,Esomeprazole,Minor,PPI Esomeprazole may slightly increase the concentration of SSRI Escitalopram.
Sertraline,Antacid,Minor,Antacid Antacid may slightly affect absorption of SSRI Sertraline.
Sertraline,Magnesium Hydroxide,Minor,Antacid Magnesium Hydroxide may slightly affect absorption of SSRI Sertraline.
Sertraline,Calcium Carbonate,Minor,Antacid Calcium Carbonate may slightly affect absorption of SSRI Sertraline.
Fluoxetine,Antacid,Minor,Antacid Antacid may slightly affect absorption of SSRI Fluoxetine.
Fluoxetine,Magnesium Hydroxide,Minor,Antacid Magnesium Hydroxide may slightly affect absorption of SSRI Fluoxetine.
Fluoxetine,Calcium Carbonate,Minor,Antacid Calcium Carbonate may slightly affect absorption of SSRI Fluoxetine.
Citalopram,Antacid,Minor,Antacid Antacid may slightly affect absorption of SSRI Citalopram.
Citalopram,Magnesium Hydroxide,Minor,Antacid Magnesium Hydroxide may slightly affect absorption of SSRI Citalopram.
Citalopram,Calcium Carbonate,Minor,Antacid Calcium Carbonate may slightly affect absorption of SSRI Citalopram.
Escitalopram,Antacid,Minor,Antacid Antacid may slightly affect absorption of SSRI Escitalopram.
Escitalopram,Magnesium Hydroxide,Minor,Antacid Magnesium Hydroxide may slightly affect absorption of SSRI Escitalopram.
Escitalopram,Calcium Carbonate,Minor,Antacid Calcium Carbonate may slightly affect absorption of SSRI Escitalopram.
Paroxetine,Antacid,Minor,Antacid Antacid may slightly affect absorption of SSRI Paroxetine.
Paroxetine,Magnesium Hydroxide,Minor,Antacid Magnesium Hydroxide may slightly affect absorption of SSRI Paroxetine.
Paroxetine,Calcium Carbonate,Minor,Antacid Calcium Carbonate may slightly affect absorption of SSRI Paroxetine.
Metformin,Paracetamol,None,No significant interaction known.
Metformin,Cetirizine,None,No significant interaction known.
Metformin,Loratadine,None,No significant interaction known.
Metformin,Fexofenadine,None,No significant interaction known.
Metformin,Levothyroxine,None,No significant interaction known.
Metformin,Omeprazole,None,No significant interaction known.
Metformin,Pantoprazole,None,No significant interaction known.
Metformin,Ranitidine,None,No significant interaction known.
Glibenclamide,Paracetamol,None,No significant interaction known.
Glibenclamide,Cetirizine,None,No significant interaction known.
Glibenclamide,Loratadine,None,No significant interaction known.
Glibenclamide,Fexofenadine,None,No significant interaction known.
Glibenclamide,Levothyroxine,None,No significant interaction known.
Glibenclamide,Omeprazole,None,No significant interaction known.
Glibenclamide,Pantoprazole,None,No significant interaction known.
Glibenclamide,Ranitidine,None,No significant interaction known.
Insulin,Paracetamol,None,No significant interaction known.
Insulin,Cetirizine,None,No significant interaction known.
Insulin,Loratadine,None,No significant interaction known.
Insulin,Fexofenadine,None,No significant interaction known.
Insulin,Levothyroxine,None,No significant interaction known.
Insulin,Omeprazole,None,No significant interaction known.
Insulin,Pantoprazole,None,No significant interaction known.
Insulin,Ranitidine,None,No significant interaction known.
Glimepiride,Paracetamol,None,No significant interaction known.
Glimepiride,Cetirizine,None,No significant interaction known.
Glimepiride,Loratadine,None,No significant interaction known.
Glimepiride,Fexofenadine,None,No significant interaction known.
Glimepiride,Levothyroxine,None,No significant interaction known.
Glimepiride,Omeprazole,None,No significant interaction known.
Glimepiride,Pantoprazole,None,No significant interaction known.
Glimepiride,Ranitidine,None,No significant interaction known.
Pioglitazone,Paracetamol,None,No significant interaction known.
Pioglitazone,Cetirizine,None,No significant interaction known.
Pioglitazone,Loratadine,None,No significant interaction known.
Pioglitazone,Fexofenadine,None,No significant interaction known.
Pioglitazone,Levothyroxine,None,No significant interaction known.
Pioglitazone,Omeprazole,None,No significant interaction known.
Pioglitazone,Pantoprazole,None,No significant interaction known.
Pioglitazone,Ranitidine,None,No significant interaction known.
Sitagliptin,Paracetamol,None,No significant interaction known.
Sitagliptin,Cetirizine,None,No significant interaction known.
Sitagliptin,Loratadine,None,No significant interaction known.
Sitagliptin,Fexofenadine,None,No significant interaction known.
Sitagliptin,Levothyroxine,None,No significant interaction known.
Sitagliptin,Omeprazole,None,No significant interaction known.
Sitagliptin,Pantoprazole,None,No significant interaction known.
Sitagliptin,Ranitidine,None,No significant interaction known.
Empagliflozin,Paracetamol,None,No significant interaction known.
Empagliflozin,Cetirizine,None,No significant interaction known.
Empagliflozin,Loratadine,None,No significant interaction known.
Empagliflozin,Fexofenadine,None,No significant interaction known.
Empagliflozin,Levothyroxine,None,No significant interaction known.
Empagliflozin,Omeprazole,None,No significant interaction known.
Empagliflozin,Pantoprazole,None,No significant interaction known.
Empagliflozin,Ranitidine,None,No significant interaction known.
Atorvastatin,Paracetamol,None,No significant interaction known.
Atorvastatin,Cetirizine,None,No significant interaction known.
Atorvastatin,Loratadine,None,No significant interaction known.
Atorvastatin,Fexofenadine,None,No significant interaction known.
Atorvastatin,Metformin,None,No significant interaction known.
Atorvastatin,Insulin,None,No significant interaction known.
Atorvastatin,Ranitidine,None,No significant interaction known.
Atorvastatin,Famotidine,None,No significant interaction known.
Simvastatin,Paracetamol,None,No significant interaction known.
Simvastatin,Cetirizine,None,No significant interaction known.
Simvastatin,Loratadine,None,No significant interaction known.
Simvastatin,Fexofenadine,None,No significant interaction known.
Simvastatin,Metformin,None,No significant interaction known.
Simvastatin,Insulin,None,No significant interaction known.
Simvastatin,Ranitidine,None,No significant interaction known.
Simvastatin,Famotidine,None,No significant interaction known.
Rosuvastatin,Paracetamol,None,No significant interaction known.
Rosuvastatin,Cetirizine,None,No significant interaction known.
Rosuvastatin,Loratadine,None,No significant interaction known.
Rosuvastatin,Fexofenadine,None,No significant interaction known.
Rosuvastatin,Metformin,None,No significant interaction known.
Rosuvastatin,Insulin,None,No significant interaction known.
Rosuvastatin,Ranitidine,None,No significant interaction known.
Rosuvastatin,Famotidine,None,No significant interaction known.
Pravastatin,Paracetamol,None,No significant interaction known.
Pravastatin,Cetirizine,None,No significant interaction known.
Pravastatin,Loratadine,None,No significant interaction known.
Pravastatin,Fexofenadine,None,No significant interaction known.
Pravastatin,Metformin,None,No significant interaction known.
Pravastatin,Insulin,None,No significant interaction known.
Pravastatin,Ranitidine,None,No significant interaction known.
Pravastatin,Famotidine,None,No significant interaction known.
Lovastatin,Paracetamol,None,No significant interaction known.
Lovastatin,Cetirizine,None,No significant interaction known.
Lovastatin,Loratadine,None,No significant interaction known.
Lovastatin,Fexofenadine,None,No significant interaction known.
Lovastatin,Metformin,None,No significant interaction known.
Lovastatin,Insulin,None,No significant interaction known.
Lovastatin,Ranitidine,None,No significant interaction known.
Lovastatin,Famotidine,None,No significant interaction known.
Fluvastatin,Paracetamol,None,No significant interaction known.
Fluvastatin,Cetirizine,None,No significant interaction known.
Fluvastatin,Loratadine,None,No significant interaction known.
Fluvastatin,Fexofenadine,None,No significant interaction known.
Fluvastatin,Metformin,None,No significant interaction known.
Fluvastatin,Insulin,None,No significant interaction known.
Fluvastatin,Ranitidine,None,No significant interaction known.
Fluvastatin,Famotidine,None,No significant interaction known.
Aspirin,Cetirizine,None,No significant interaction known.
Aspirin,Loratadine,None,No significant interaction known.
Aspirin,Fexofenadine,None,No significant interaction known.
Aspirin,Levothyroxine,None,No significant interaction known.
Aspirin,Omeprazole,None,No significant interaction known.
Aspirin,Pantoprazole,None,No significant interaction known.
Aspirin,Ranitidine,None,No significant interaction known.
Ibuprofen,Cetirizine,None,No significant interaction known.
Ibuprofen,Loratadine,None,No significant interaction known.
Ibuprofen,Fexofenadine,None,No significant interaction known.
Ibuprofen,Levothyroxine,None,No significant interaction known.
Ibuprofen,Omeprazole,None,No significant interaction known.
Ibuprofen,Pantoprazole,None,No significant interaction known.
Ibuprofen,Ranitidine,None,No significant interaction known.
Naproxen,Cetirizine,None,No significant interaction known.
Naproxen,Loratadine,None,No significant interaction known.
Naproxen,Fexofenadine,None,No significant interaction known.
Naproxen,Levothyroxine,None,No significant interaction known.
Naproxen,Omeprazole,None,No significant interaction known.
Naproxen,Pantoprazole,None,No significant interaction known.
Naproxen,Ranitidine,None,No significant interaction known.
Diclofenac,Cetirizine,None,No significant interaction known.
Diclofenac,Loratadine,None,No significant interaction known.
Diclofenac,Fexofenadine,None,No significant interaction known.
Diclofenac,Levothyroxine,None,No significant interaction known.
Diclofenac,Omeprazole,None,No significant interaction known.
Diclofenac,Pantoprazole,None,No significant interaction known.
Diclofenac,Ranitidine,None,No significant interaction known.
Celecoxib,Cetirizine,None,No significant interaction known.
Celecoxib,Loratadine,None,No significant interaction known.
Celecoxib,Fexofenadine,None,No significant interaction known.
Celecoxib,Levothyroxine,None,No significant interaction known.
Celecoxib,Omeprazole,None,No significant interaction known.
Celecoxib,Pantoprazole,None,No significant interaction known.
Celecoxib,Ranitidine,None,No significant interaction known.
Meloxicam,Cetirizine,None,No significant interaction known.
Meloxicam,Loratadine,None,No significant interaction known.
Meloxicam,Fexofenadine,None,No significant interaction known.
Meloxicam,Levothyroxine,None,No significant interaction known.
Meloxicam,Omeprazole,None,No significant interaction known.
Meloxicam,Pantoprazole,None,No significant interaction known.
Meloxicam,Ranitidine,None,No significant interaction known.
Ketorolac,Cetirizine,None,No significant interaction known.
Ketorolac,Loratadine,None,No significant interaction known.
Ketorolac,Fexofenadine,None,No significant interaction known.
Ketorolac,Levothyroxine,None,No significant interaction known.
Ketorolac,Omeprazole,None,No significant interaction known.
Ketorolac,Pantoprazole,None,No significant interaction known.
Ketorolac,Ranitidine,None,No significant interaction known.
Indomethacin,Cetirizine,None,No significant interaction known.
Indomethacin,Loratadine,None,No significant interaction known.
Indomethacin,Fexofenadine,None,No significant interaction known.
Indomethacin,Levothyroxine,None,No significant interaction known.
Indomethacin,Omeprazole,None,No significant interaction known.
Indomethacin,Pantoprazole,None,No significant interaction known.
Indomethacin,Ranitidine,None,No significant interaction known.
Piroxicam,Cetirizine,None,No significant interaction known.
Piroxicam,Loratadine,None,No significant interaction known.
Piroxicam,Fexofenadine,None,No significant interaction known.
Piroxicam,Levothyroxine,None,No significant interaction known.
Piroxicam,Omeprazole,None,No significant interaction known.
Piroxicam,Pantoprazole,None,No significant interaction known.
Piroxicam,Ranitidine,None,No significant interaction known.
Lisinopril,Paracetamol,None,No significant interaction known.
Lisinopril,Cetirizine,None,No significant interaction known.
Lisinopril,Loratadine,None,No significant interaction known.
Lisinopril,Fexofenadine,None,No significant interaction known.
Lisinopril,Omeprazole,None,No significant interaction known.
Lisinopril,Pantoprazole,None,No significant interaction known.
Lisinopril,Ranitidine,None,No significant interaction known.
Ramipril,Paracetamol,None,No significant interaction known.
Ramipril,Cetirizine,None,No significant interaction known.
Ramipril,Loratadine,None,No significant interaction known.
Ramipril,Fexofenadine,None,No significant interaction known.
Ramipril,Omeprazole,None,No significant interaction known.
Ramipril,Pantoprazole,None,No significant interaction known.
Ramipril,Ranitidine,None,No significant interaction known.
Captopril,Paracetamol,None,No significant interaction known.
Captopril,Cetirizine,None,No significant interaction known.
Captopril,Loratadine,None,No significant interaction known.
Captopril,Fexofenadine,None,No significant interaction known.
Captopril,Omeprazole,None,No significant interaction known.
Captopril,Pantoprazole,None,No significant interaction known.
Captopril,Ranitidine,None,No significant interaction known.
Enalapril,Paracetamol,None,No significant interaction known.
Enalapril,Cetirizine,None,No significant interaction known.
Enalapril,Loratadine,None,No significant interaction known.
Enalapril,Fexofenadine,None,No significant interaction known.
Enalapril,Omeprazole,None,No significant interaction known.
Enalapril,Pantoprazole,None,No significant interaction known.
Enalapril,Ranitidine,None,No significant interaction known.
Fosinopril,Paracetamol,None,No significant interaction known.
Fosinopril,Cetirizine,None,No significant interaction known.
Fosinopril,Loratadine,None,No significant interaction known.
Fosinopril,Fexofenadine,None,No significant interaction known.
Fosinopril,Omeprazole,None,No significant interaction known.
Fosinopril,Pantoprazole,None,No significant interaction known.
Fosinopril,Ranitidine,None,No significant interaction known.
Quinapril,Paracetamol,None,No significant interaction known.
Quinapril,Cetirizine,None,No significant interaction known.
Quinapril,Loratadine,None,No significant interaction known.
Quinapril,Fexofenadine,None,No significant interaction known.
Quinapril,Omeprazole,None,No significant interaction known.
Quinapril,Pantoprazole,None,No significant interaction known.
Quinapril,Ranitidine,None,No significant interaction known.
Trandolapril,Paracetamol,None,No significant interaction known.
Trandolapril,Cetirizine,None,No significant interaction known.
Trandolapril,Loratadine,None,No significant interaction known.
Trandolapril,Fexofenadine,None,No significant interaction known.
Trandolapril,Omeprazole,None,No significant interaction known.
Trandolapril,Pantoprazole,None,No significant interaction known.
Trandolapril,Ranitidine,None,No significant interaction known.
Losartan,Paracetamol,None,No significant interaction known.
Losartan,Cetirizine,None,No significant interaction known.
Losartan,Loratadine,None,No significant interaction known.
Losartan,Fexofenadine,None,No significant interaction known.
Losartan,Omeprazole,None,No significant interaction known.
Losartan,Pantoprazole,None,No significant interaction known.
Losartan,Ranitidine,None,No significant interaction known.
Valsartan,Paracetamol,None,No significant interaction known.
Valsartan,Cetirizine,None,No significant interaction known.
Valsartan,Loratadine,None,No significant interaction known.
Valsartan,Fexofenadine,None,No significant interaction known.
Valsartan,Omeprazole,None,No significant interaction known.
Valsartan,Pantoprazole,None,No significant interaction known.
Valsartan,Ranitidine,None,No significant interaction known.
Candesartan,Paracetamol,None,No significant interaction known.
Candesartan,Cetirizine,None,No significant interaction known.
Candesartan,Loratadine,None,No significant interaction known.
Candesartan,Fexofenadine,None,No significant interaction known.
Candesartan,Omeprazole,None,No significant interaction known.
Candesartan,Pantoprazole,None,No significant interaction known.
Candesartan,Ranitidine,None,No significant interaction known.
Irbesartan,Paracetamol,None,No significant interaction known.
Irbesartan,Cetirizine,None,No significant interaction known.
Irbesartan,Loratadine,None,No significant interaction known.
Irbesartan,Fexofenadine,None,No significant interaction known.
Irbesartan,Omeprazole,None,No significant interaction known.
Irbesartan,Pantoprazole,None,No significant interaction known.
Irbesartan,Ranitidine,None,No significant interaction known.
Olmesartan,Paracetamol,None,No significant interaction known.
Olmesartan,Cetirizine,None,No significant interaction known.
Olmesartan,Loratadine,None,No significant interaction known.
Olmesartan,Fexofenadine,None,No significant interaction known.
Olmesartan,Omeprazole,None,No significant interaction known.
Olmesartan,Pantoprazole,None,No significant interaction known.
Olmesartan,Ranitidine,None,No significant interaction known.
Metoprolol,Paracetamol,None,No significant interaction known.
Metoprolol,Cetirizine,None,No significant interaction known.
Metoprolol,Loratadine,None,No significant interaction known.
Metoprolol,Fexofenadine,None,No significant interaction known.
Metoprolol,Omeprazole,None,No significant interaction known.
Metoprolol,Pantoprazole,None,No significant interaction known.
Metoprolol,Ranitidine,None,No significant interaction known.
Atenolol,Paracetamol,None,No significant interaction known.
Atenolol,Cetirizine,None,No significant interaction known.
Atenolol,Loratadine,None,No significant interaction known.
Atenolol,Fexofenadine,None,No significant interaction known.
Atenolol,Omeprazole,None,No significant interaction known.
Atenolol,Pantoprazole,None,No significant interaction known.
Atenolol,Ranitidine,None,No significant interaction known.
Propranolol,Paracetamol,None,No significant interaction known.
Propranolol,Cetirizine,None,No significant interaction known.
Propranolol,Loratadine,None,No significant interaction known.
Propranolol,Fexofenadine,None,No significant interaction known.
Propranolol,Omeprazole,None,No significant interaction known.
Propranolol,Pantoprazole,None,No significant interaction known.
Propranolol,Ranitidine,None,No significant interaction known.
Carvedilol,Paracetamol,None,No significant interaction known.
Carvedilol,Cetirizine,None,No significant interaction known.
Carvedilol,Loratadine,None,No significant interaction known.
Carvedilol,Fexofenadine,None,No significant interaction known.
Carvedilol,Omeprazole,None,No significant interaction known.
Carvedilol,Pantoprazole,None,No significant interaction known.
Carvedilol,Ranitidine,None,No significant interaction known.
Bisoprolol,Paracetamol,None,No significant interaction known.
Bisoprolol,Cetirizine,None,No significant interaction known.
Bisoprolol,Loratadine,None,No significant interaction known.
Bisoprolol,Fexofenadine,None,No significant interaction known.
Bisoprolol,Omeprazole,None,No significant interaction known.
Bisoprolol,Pantoprazole,None,No significant interaction known.
Bisoprolol,Ranitidine,None,No significant interaction known.
Nebivolol,Paracetamol,None,No significant interaction known.
Nebivolol,Cetirizine,None,No significant interaction known.
Nebivolol,Loratadine,None,No significant interaction known.
Nebivolol,Fexofenadine,None,No significant interaction known.
Nebivolol,Omeprazole,None,No significant interaction known.
Nebivolol,Pantoprazole,None,No significant interaction known.
Nebivolol,Ranitidine,None,No significant interaction known.
Sertraline,Paracetamol,None,No significant interaction known.
Sertraline,Loratadine,None,No significant interaction known.
Sertraline,Fexofenadine,None,No significant interaction known.
Sertraline,Levothyroxine,None,No significant interaction known.
Sertraline,Pantoprazole,None,No significant interaction known.
Sertraline,Ranitidine,None,No significant interaction known.
Sertraline,Famotidine,None,No significant interaction known.
Fluoxetine,Paracetamol,None,No significant interaction known.
Fluoxetine,Loratadine,None,No significant interaction known.
Fluoxetine,Fexofenadine,None,No significant interaction known.
Fluoxetine,Levothyroxine,None,No significant interaction known.
Fluoxetine,Omeprazole,None,No significant interaction known.
Fluoxetine,Pantoprazole,None,No significant interaction known.
Fluoxetine,Ranitidine,None,No significant interaction known.
Fluoxetine,Famotidine,None,No significant interaction known.
Citalopram,Paracetamol,None,No significant interaction known.
Citalopram,Loratadine,None,No significant interaction known.
Citalopram,Fexofenadine,None,No significant interaction known.
Citalopram,Levothyroxine,None,No significant interaction known.
Citalopram,Pantoprazole,None,No significant interaction known.
Citalopram,Ranitidine,None,No significant interaction known.
Citalopram,Famotidine,None,No significant interaction known.
Escitalopram,Paracetamol,None,No significant interaction known.
Escitalopram,Loratadine,None,No significant interaction known.
Escitalopram,Fexofenadine,None,No significant interaction known.
Escitalopram,Levothyroxine,None,No significant interaction known.
Escitalopram,Pantoprazole,None,No significant interaction known.
Escitalopram,Ranitidine,None,No significant interaction known.
Escitalopram,Famotidine,None,No significant interaction known.
Paroxetine,Paracetamol,None,No significant interaction known.
Paroxetine,Loratadine,None,No significant interaction known.
Paroxetine,Fexofenadine,None,No significant interaction known.
Paroxetine,Levothyroxine,None,No significant interaction known.
Paroxetine,Omeprazole,None,No significant interaction known.
Paroxetine,Pantoprazole,None,No significant interaction known.
Paroxetine,Ranitidine,None,No significant interaction known.
Paroxetine,Famotidine,None,No significant interaction known.
